text,Number of Hashtags,Hashtags,Length of tweet,isRetweet
"Public Facilitation kiosk with facilities of lodging e—FIRs/NCR, control room of CCTV cameras, police post of division &amp; beat staff and 24*7 police presence at junction of UER &amp; NH44, inaugrated by JT CP NR in area of PS NIA @CPDelhi @LtGovDelhi @DelhiPolice https://t.co/ZOZcSeesxx",0,[],290,True
"Newly constructed Administration block which will accommodate all compulsory units/branches of DCP office under one roof inaugrated by Worthy Jt CP NR , Sh Manish Agarwal sir @CPDelhi @splcpnorthdelpo @DelhiPolice https://t.co/Am94XLcGwT",0,[],237,True
"Big cheater &amp; imposter  Ashok  R/o Sonipat who use to pose as an officer from Delhi Pollution Control Committee  &amp; use to cheat factory owners by threatening them regarding big penalty for non fulfillment of norms and extracted money, caught  @CPDelhi @DelhiPolice https://t.co/SdAZ5wlJ8y",0,[],296,True
"On the 1st anniversary of ""Naazuk"" in Jahangirpuri in the presence of Joint Commissioner of Police, Northern Range, Sh Manish Agrawal. Children participated enthusiastically in pot painting &amp; hand painting @DelhiPolice @CPDelhi https://t.co/DhxOSqsFhh",0,[],255,True
"SAFETY APPARATUS AROUND BANKS &amp; ATMs EVALUATED
Interaction with Managers of Banks' Branches in West District to ensure safety and security of bank premises, customers and ATM machines
Useful information shared and mutual trust and cooperation assured. @DelhiPolice @ANI @CPDelhi https://t.co/up0htt8t6P",0,[],306,True
@RichaBanka Please report the matter to Delhi Police Control Room by dialing 112.,0,[],81,False
Special staff of SED arrested one  Raju with 40 Cartons (1990 quarters) of illicit liquor smuggling in a car. He has 6 previous  involvements. @DelhiPolice https://t.co/A2bD5ZFQkz,0,[],179,True
"A visit to Red Fort was organized for the senior citizens during #DelhiPoliceWeek.
  #PoliceDost 
@DelhiPolice @LtGovDelhi https://t.co/6lXN2ed75J",2,"['DelhiPoliceWeek', 'PoliceDost']",146,True
@adityar1431 Please share your grievance with Station House Officer of the concerned Police Station in this regard.,0,[],115,False
"A painting competition was organised on India Gate lawns. Nearly 75 students from 5 schools participated to draw paintings on the themes of ""My Police,Delhi Police"" and ""How can I help Delhi Police"". DCP N.Delhi awarded prizes to the winners.
@CPDelhi @DelhiPolice @LtGovDelhi https://t.co/g2qkTb0qDd",0,[],300,True
@Shebaj15 Matter is being forwarded to @dtptraffic for necessary action.,0,[],72,False
"Delhi Police Week: Medical/Health Checkup Camp &amp; Mobile Cancer Detection Camp organized by Indian Cancer Society at EOW, Mandir Marg for @DelhiPolice Personnel and their families.
@CPDelhi https://t.co/tluYYjbyvq",0,[],216,True
@invincible_koul Please lodge a complaint on Cyber Crime website “https://t.co/UX8RcXyvXF” or lodge the same at your local Police Station for necessary action.,0,[],159,False
"Delhi Police Week: Tenant Verification camps organised in JJ colony, MPK and Khadda colony, PS Kalindi Kunj,  Khijrabad village , PS NFC and PS Govindpuri. @DelhiPolice https://t.co/pyxrNWeMxz",0,[],192,True
@inderje42339299 Please lodge an e-FIR of MV theft through link available on Delhi Police Website ‘https://t.co/X0oJwcRzAy’ for necessary action.,0,[],145,False
"Free health checkup camp for citizens was organized at Police Station during #DelhiPoliceWeek 
@DelhiPolice @LtGovDelhi https://t.co/Wo7JgNF0eb",1,['DelhiPoliceWeek'],143,True
"Special visit was organized to Police Museum for school children by team of PS Sarai Rohilla. Here's a sneak peek for you.
#DelhiPoliceWeek 
@DelhiPolice https://t.co/H5bUpSydi4",0,[],177,True
